inserted_at,platform_name,delivery_platform,delivery_tracking_number,order_id,order_no,external_order_no,shipping_label
2024-04-22 05:23:04,Shopee,SPX Express,SPXVN046497730994,15992483,SPECBE-240422DESKDAQP,SPECBE-240422DESKDAQP,https://files.onpoint.vn/order/2024/04/22/997527284LLEEWYJVPUBJWVYVHAQX27YA_shipping_label.pdf
2024-04-22 05:17:21,Shopee,SPX Express,SPXVN042821893514,15992302,SPETHM-240422DEFCAWQE,SPETHM-240422DEFCAWQE,https://files.onpoint.vn/order/2024/04/22/806708944DRUAR7BCHPFWPZPI7IYFOQO5_shipping_label.pdf
2024-04-22 05:05:30,Shopee,Giao Hàng Nhanh,G8PFARWB,15991945,SPEGRP-240422DDT67PC9,SPEGRP-240422DDT67PC9,https://files.onpoint.vn/order/2024/04/22/447204471SLNKCQWLAEC3AQ25KKL25BEG_shipping_label.pdf
2024-04-22 04:45:21,Shopee,Giao Hàng Nhanh,G8PF8EFK,15991382,SPETHM-240422DCP4AG3M,SPETHM-240422DCP4AG3M,https://files.onpoint.vn/order/2024/04/22/721642538WOFOPC734URDYIMC2NK4OGGZ_shipping_label.pdf
2024-04-22 04:35:42,Shopee,Giao Hàng Nhanh,G8PFARWP,15991162,SPEGRP-240422DC4W28NX,SPEGRP-240422DC4W28NX,https://files.onpoint.vn/order/2024/04/22/207978798DTCEESM7E2PJNOC2RRFQNMBG_shipping_label.pdf
2024-04-22 04:32:48,Shopee,SPX Express,SPXVN045034533994,15991094,SPEGRP-240422DBYQ5UVM,SPEGRP-240422DBYQ5UVM,https://files.onpoint.vn/order/2024/04/22/878754477UI5WB2WY5EYWCBS2CJVMC4LW_shipping_label.pdf
2024-04-22 04:29:47,Shopee,Giao Hàng Nhanh,G8PFAKW7,15991010,SPEGRP-240422DBTAGPRB,SPEGRP-240422DBTAGPRB,https://files.onpoint.vn/order/2024/04/22/649572975DNALO3G4DJQ472EBAKZLYVKQ_shipping_label.pdf
2024-04-22 04:24:49,Shopee,Giao Hàng Nhanh,G8PFAKWD,15990902,SPEGRP-240422DBHDDVRJ,SPEGRP-240422DBHDDVRJ,https://files.onpoint.vn/order/2024/04/22/714296647UHTMRRET46R3PTPI4RBYGAYG_shipping_label.pdf
2024-04-22 04:24:03,Shopee,Giao Hàng Nhanh,G8PFAKWH,15990889,SPEGRP-240422DBG1GSS3,SPEGRP-240422DBG1GSS3,https://files.onpoint.vn/order/2024/04/22/5580132923A3YH4SZTZBEKINDNC4EHCI3_shipping_label.pdf
2024-04-22 04:22:12,Shopee,Giao Hàng Nhanh,G8PFAYGR,15990843,SPEAPT-240422DBCQMH26,SPEAPT-240422DBCQMH26,https://files.onpoint.vn/order/2024/04/22/967331060K735E2UBDGMLGNEBCX2PW5VQ_shipping_label.pdf
2024-04-22 03:53:11,Shopee,GHN - Hàng Cồng Kềnh,G8PFAKKG,15990261,SPEGRP-240422D9RV9MW7,SPEGRP-240422D9RV9MW7,https://files.onpoint.vn/order/2024/04/22/5629200605KGMXJ7G7N67J6ZVC6OZAVL6_shipping_label.pdf
2024-04-22 03:43:52,Shopee,SPX Express,SPXVN045184107064,15990112,SPEPEP-240422D987618A,SPEPEP-240422D987618A,https://files.onpoint.vn/order/2024/04/22/755183140ULUZE4DLGJEP7BFYN3LK3P2P_shipping_label.pdf
2024-04-22 03:11:45,Shopee,Giao Hàng Nhanh,G8PFYUNT,15989507,SPESDP-240422D7ERF8B0,SPESDP-240422D7ERF8B0,https://files.onpoint.vn/order/2024/04/22/3329477696JCA5TPRY7ZCF44UPKMINOMD_shipping_label.pdf
2024-04-22 03:09:11,Shopee,GHN - Hàng Cồng Kềnh,G8PFWBEB,15989462,SPETHM-240422D7A6HFMS,SPETHM-240422D7A6HFMS,https://files.onpoint.vn/order/2024/04/22/162682865XL5NZBVNLTDGIOPM4UIIKLM_shipping_label.pdf
2024-04-22 02:10:31,Shopee,SPX Express,SPXVN049555753714,15988560,SPEPEP-240422D419KM3K,SPEPEP-240422D419KM3K,https://files.onpoint.vn/order/2024/04/22/40865044DHQ7FJNUVDTRIL7HP5HJYTC5_shipping_label.pdf
2024-04-22 02:09:49,Shopee,SPX Express,SPXVN045998692324,15988538,SPEPEP-240422D401K9VA,SPEPEP-240422D401K9VA,https://files.onpoint.vn/order/2024/04/22/498641262OOGT6QVOMHCNMLY7JIKE2NPD_shipping_label.pdf
2024-04-21 21:08:35,Shopee,Giao Hàng Nhanh,G8PFVK6A,15981916,SPEBEL-240422CK5BXKMT,SPEBEL-240422CK5BXKMT,https://files.onpoint.vn/order/2024/04/22/645358641ANKAZBDZX23A46MZO6VX4KPJ_shipping_label.pdf
2024-04-21 20:47:47,Shopee,Giao Hàng Nhanh,G8PFVXWA,15981776,SPEVAR-240422CJ06NV8A,SPEVAR-240422CJ06NV8A,https://files.onpoint.vn/order/2024/04/22/79755941HR5QI54U5XE26KHWCFEBE2BT_shipping_label.pdf
2024-04-21 17:30:57,Shopee,SPX Express,SPXVN043480344424,15980260,SPESBC-240422C706U102,SPESBC-240422C706U102,https://files.onpoint.vn/order/2024/04/22/955396608Q37IDDRD3UDTHBCQR43FLBWB_shipping_label.pdf
2024-04-21 17:12:48,Shopee,SPX Express,SPXVN047225404604,15979946,SPEPEP-240422C5YS7WVG,SPEPEP-240422C5YS7WVG,https://files.onpoint.vn/order/2024/04/22/623461834NBIXQYN2LC5TZ3YGN66YXDSQ_shipping_label.pdf
2024-04-21 16:53:57,Shopee,SPX Express,SPXVN041417503414,15979441,SPEPEP-240422C4X2MG71,SPEPEP-240422C4X2MG71,https://files.onpoint.vn/order/2024/04/22/343263138YX5KPBDKKT4BYZ2VDCNYUN4D_shipping_label.pdf
2024-04-21 16:42:30,Shopee,SPX Express,SPXVN048402521544,15979154,SPEPEP-240422C49KEBSV,SPEPEP-240422C49KEBSV,https://files.onpoint.vn/order/2024/04/22/3617082433IAN77FAHBP5WQJGYPK3HU4V_shipping_label.pdf
2024-04-21 14:14:44,Shopee,SPX Express,SPXVN040029837614,15976375,SPEMDE-240421BV1C6848,SPEMDE-240421BV1C6848,https://files.onpoint.vn/order/2024/04/22/743784501C4I5XEXM7ECEZK4SE5EJ7G66_shipping_label.pdf
2024-04-21 14:01:08,Shopee,SPX Express,SPXVN048374114644,15976068,SPEPEP-240421BU91370P,SPEPEP-240421BU91370P,https://files.onpoint.vn/order/2024/04/22/6696747794FMOOLMHS3LIE5POO34V7HUM_shipping_label.pdf
2024-04-21 13:12:06,Shopee,SPX Express,SPXVN042131498834,15975032,SPEPEP-240421BRHF6510,SPEPEP-240421BRHF6510,https://files.onpoint.vn/order/2024/04/22/764966280GHFNG3NKHMMEEQJVOZCVDPI5_shipping_label.pdf
2024-04-21 13:07:13,Shopee,SPX Express,SPXVN042348117924,15974915,SPEPEP-240421BR8MU1N0,SPEPEP-240421BR8MU1N0,https://files.onpoint.vn/order/2024/04/22/795240572DA6W5Z5S4KTTWVKKLEX2FOUG_shipping_label.pdf
2024-04-21 10:31:18,Shopee,tnsl_delivery,HTC340006426C0,15893270,SPEOBA-2404171VUY6YDD,SPEOBA-2404171VUY6YDD-GB,https://files.onpoint.vn/order/2024/04/21/SCAG3MECVHFJ6G43V6XZ2JUPEU45E6_shipping_label.pdf
2024-04-21 09:49:00,Shopee,SPX Express,SPXVN042168800674,15971421,SPETHM-240421BD66UVGS,SPETHM-240421BD66UVGS,https://files.onpoint.vn/order/2024/04/22/705841332XDAFNGXCLJ75QWXCQAD7LUMN_shipping_label.pdf
2024-04-21 08:55:26,Shopee,SPX Express,SPXVN045260519464,15970680,SPEPEP-240421BA6DQ23M,SPEPEP-240421BA6DQ23M,https://files.onpoint.vn/order/2024/04/22/531657103A75YG4LNLMEHJDXBBLK3UKRS_shipping_label.pdf
2024-04-21 06:26:21,Shopee,SPX Express,SPXVN044089314324,15968857,SPETHM-240421B1UU40YN,SPETHM-240421B1UU40YN,https://files.onpoint.vn/order/2024/04/22/275556533LCJCOGI63UFZDCWAK5I43X5C_shipping_label.pdf
2024-04-21 04:18:52,Shopee,tnsl_delivery,HTC389646840C0,15428425,SPEGRP-240404S871V0H0,SPEGRP-240404S871V0H0-GB,https://files.onpoint.vn/order/2024/04/21/SC9YXK6P54QMIY3XFPTIXFN6A3SRFP_shipping_label.pdf
2024-04-21 03:39:13,Shopee,SPX Express,SPXVN047477384834,15966522,SPETHM-240421ARGXPV0N,SPETHM-240421ARGXPV0N,https://files.onpoint.vn/order/2024/04/22/146856416WWRIFNMACPDQW66KM3CR6F52_shipping_label.pdf
2024-04-21 03:18:29,Shopee,SPX Express,SPXVN047591998074,15966282,SPETHM-240421AQBVBPQS,SPETHM-240421AQBVBPQS,https://files.onpoint.vn/order/2024/04/22/635275213X6KFU5CZEETVW5QEOR6WJJ2N_shipping_label.pdf
2024-04-21 02:58:43,Shopee,SPX Express,SPXVN040607348464,15966035,SPEKEW-240421AP8J7PGQ,SPEKEW-240421AP8J7PGQ,https://files.onpoint.vn/order/2024/04/22/272286249UW3HNNVRLMXKJTJIJQFXADUA_shipping_label.pdf
2024-04-21 01:59:27,Shopee,SPX Express,SPXVN046143162664,15965310,SPEKEW-240421AJXJYH6D,SPEKEW-240421AJXJYH6D,https://files.onpoint.vn/order/2024/04/22/305784168DXYEZTLNUXICL3ZIWUJT3IKX_shipping_label.pdf
2024-04-21 01:10:01,Shopee,Giao Hàng Nhanh,G8PFVXKX,15964981,SPEGRP-240421AG65DP62,SPEGRP-240421AG65DP62,https://files.onpoint.vn/order/2024/04/22/4743296695UQUHIRZ2LPN7PFJEDKZYNR7_shipping_label.pdf
2024-04-20 18:23:57,Shopee,SPX Express,SPXVN042345429104,15958069,SPEMDE-2404219SG30WHV,SPEMDE-2404219SG30WHV,https://files.onpoint.vn/order/2024/04/22/697434331KMZSNUI7CHNAHLYGZUDMPYNL_shipping_label.pdf
2024-04-20 17:32:53,Shopee,Giao Hàng Nhanh,G8PFV39T,15957556,SPEGRP-2404219NR2JM7S,SPEGRP-2404219NR2JM7S,https://files.onpoint.vn/order/2024/04/22/7688843747IUP3WCY5BVBNAKE6D3P5FW3_shipping_label.pdf
2024-04-20 17:31:13,Shopee,Giao Hàng Nhanh,G8PLVF9X,15957537,SPEHUG-2404219PHTGPQS,SPEHUG-2404219PHTGPQS,https://files.onpoint.vn/order/2024/04/21/998346578PZUVQLWSKXAZBI3CGIAR6CYN_shipping_label.pdf
2024-04-20 17:11:57,Shopee,Giao Hàng Nhanh,G8PF9TUR,15957299,SPEKEW-2404219NFB4VBG,SPEKEW-2404219NFB4VBG,https://files.onpoint.vn/order/2024/04/22/510218276NTGINIPX5WCSTMQWSWX3DLVS_shipping_label.pdf
2024-04-20 16:21:13,Shopee,SPX Express,SPXVN047321617554,15956417,SPETHM-2404219JMM6MTY,SPETHM-2404219JMM6MTY,https://files.onpoint.vn/order/2024/04/22/15685086QPCFTJMFHVR2FCW26H4KJNHC_shipping_label.pdf
2024-04-20 16:04:24,Shopee,SPX Express,SPXVN048534330104,15956178,SPEPEP-2404219HPHWKM7,SPEPEP-2404219HPHWKM7,https://files.onpoint.vn/order/2024/04/22/858899897Y5JSRQIQW2WT6Z34ULTSVVBB_shipping_label.pdf
2024-04-20 15:06:51,Shopee,SPX Express,SPXVN042101768934,15955120,SPEPEP-2404209EFKVQK2,SPEPEP-2404209EFKVQK2,https://files.onpoint.vn/order/2024/04/22/574705276SKVHE473RRHB3SDEAPJFVN6P_shipping_label.pdf
2024-04-20 14:43:52,Shopee,SPX Express,SPXVN048581082224,15954716,SPETHM-2404209D6HRG35,SPETHM-2404209D6HRG35,https://files.onpoint.vn/order/2024/04/22/411989653DE5LKUHVBFMPOBOUII4O6QOI_shipping_label.pdf
